# Columns:
# 1: X
# 2: Y
# 3: computed depth
# 4: measured depth
# 5: difference between computed and measured depth
# frame: ./0000_depth.png
# frame: ./0000_sync_depth.png
# frame: ./0001_depth.png
# frame: ./0001_sync_depth.png
# frame: ./0002_depth.png
# frame: ./0002_sync_depth.png
# frame: ./0003_depth.png
# frame: ./0003_sync_depth.png
# frame: ./0004_depth.png
# frame: ./0004_sync_depth.png
# frame: ./0005_depth.png
# frame: ./0005_sync_depth.png
# frame: ./0006_depth.png
# frame: ./0006_sync_depth.png
# frame: ./0007_depth.png
# frame: ./0007_sync_depth.png
# frame: ./0008_depth.png
# frame: ./0008_sync_depth.png
# frame: ./0009_depth.png
# frame: ./0009_sync_depth.png
# frame: ./0010_depth.png
# frame: ./0010_sync_depth.png
# frame: ./0011_depth.png
# frame: ./0011_sync_depth.png
# frame: ./0012_depth.png
# frame: ./0012_sync_depth.png
# frame: ./0013_depth.png
# frame: ./0013_sync_depth.png
# frame: ./0014_depth.png
# frame: ./0014_sync_depth.png
# frame: ./0015_depth.png
# frame: ./0015_sync_depth.png
# frame: ./0016_depth.png
# frame: ./0016_sync_depth.png
# frame: ./0017_depth.png
# frame: ./0017_sync_depth.png
# frame: ./0018_depth.png
# frame: ./0018_sync_depth.png
# frame: ./0019_depth.png
# frame: ./0019_sync_depth.png
# frame: ./0020_depth.png
# frame: ./0020_sync_depth.png
# frame: ./0021_depth.png
# frame: ./0021_sync_depth.png
# frame: ./0022_depth.png
# frame: ./0022_sync_depth.png
# frame: ./0023_depth.png
# frame: ./0023_sync_depth.png
# frame: ./0024_depth.png
# frame: ./0024_sync_depth.png
# frame: ./0025_depth.png
# frame: ./0025_sync_depth.png
# frame: ./0026_depth.png
# frame: ./0026_sync_depth.png
# frame: ./0027_depth.png
# frame: ./0027_sync_depth.png
# frame: ./0028_depth.png
# frame: ./0028_sync_depth.png
# frame: ./0029_depth.png
# frame: ./0029_sync_depth.png
# frame: ./0030_depth.png
# frame: ./0030_sync_depth.png
# frame: ./0031_depth.png
# frame: ./0031_sync_depth.png
# frame: ./0032_depth.png
# frame: ./0032_sync_depth.png
# frame: ./0033_depth.png
# frame: ./0033_sync_depth.png
# frame: ./0034_depth.png
# frame: ./0034_sync_depth.png
# frame: ./0035_depth.png
# frame: ./0035_sync_depth.png
# frame: ./0036_depth.png
# frame: ./0036_sync_depth.png
# frame: ./0037_depth.png
# frame: ./0037_sync_depth.png
# frame: ./0038_depth.png
# frame: ./0038_sync_depth.png
# frame: ./0039_depth.png
# frame: ./0039_sync_depth.png
# frame: ./0040_depth.png
# frame: ./0040_sync_depth.png
# frame: ./0041_depth.png
# frame: ./0041_sync_depth.png
# frame: ./0042_depth.png
# frame: ./0042_sync_depth.png
# frame: ./0043_depth.png
# frame: ./0043_sync_depth.png
# frame: ./0044_depth.png
# frame: ./0044_sync_depth.png
# frame: ./0045_depth.png
# frame: ./0045_sync_depth.png
219 173 0.509431 0.568 -0.0585693
218 174 0.514254 0.568 -0.0537458
202 190 0.606072 0.592 0.0140719
201 191 0.612911 0.569 0.0439114
200 192 0.619907 0.571 0.0489071
199 193 0.627064 0.568 0.0590643
198 194 0.634389 0.57 0.0643887
197 195 0.641886 0.568 0.0738862
170 223 0.532862 0.584 -0.0511384
168 225 0.543527 0.589 -0.0454732
167 226 0.549021 0.562 -0.0129789
166 227 0.554628 0.566 -0.0113724
165 228 0.56035 0.562 -0.00165014
164 229 0.566191 0.565 0.00119139
163 230 0.572156 0.563 0.009156
162 231 0.578248 0.568 0.0102476
161 232 0.58447 0.557 0.0274703
160 233 0.590828 0.565 0.0258285
159 234 0.597326 0.558 0.0393264
158 235 0.603969 0.567 0.0369689
136 258 0.483904 0.562 -0.0780962
135 259 0.488254 0.563 -0.074746
134 260 0.492683 0.563 -0.0703169
133 261 0.497193 0.563 -0.0658067
132 262 0.501787 0.559 -0.0572131
131 263 0.506466 0.539 -0.0325339
130 264 0.511233 0.569 -0.0577666
125 269 0.536483 0.596 -0.0595173
124 270 0.541835 0.551 -0.00916517
123 271 0.547295 0.554 -0.00670517
122 272 0.552866 0.56 -0.00713401
121 273 0.558552 0.6 -0.0414483
120 274 0.564356 0.552 0.0123556
119 275 0.570281 0.548 0.0222814
118 276 0.576333 0.543 0.033333
117 277 0.582514 0.543 0.0395144
116 278 0.58883 0.549 0.0398298
115 279 0.595284 0.549 0.0462836
114 280 0.60188 0.558 0.0438805
113 281 0.608625 0.555 0.0536252
112 282 0.615523 0.557 0.0585228
111 283 0.622579 0.555 0.0675785
110 284 0.629798 0.557 0.0727979
# frame: ./0046_depth.png
# frame: ./0046_sync_depth.png
# frame: ./0047_depth.png
# frame: ./0047_sync_depth.png
# frame: ./0048_depth.png
# frame: ./0048_sync_depth.png
# frame: ./0049_depth.png
# frame: ./0049_sync_depth.png
# frame: ./0050_depth.png
# frame: ./0050_sync_depth.png
# frame: ./0051_depth.png
# frame: ./0051_sync_depth.png
# frame: ./0052_depth.png
# frame: ./0052_sync_depth.png
# frame: ./0053_depth.png
# frame: ./0053_sync_depth.png
# frame: ./0054_depth.png
# frame: ./0054_sync_depth.png
# frame: ./0055_depth.png
# frame: ./0055_sync_depth.png
# frame: ./0056_depth.png
# frame: ./0056_sync_depth.png
# frame: ./0057_depth.png
# frame: ./0057_sync_depth.png
# frame: ./0058_depth.png
# frame: ./0058_sync_depth.png
# frame: ./0059_depth.png
# frame: ./0059_sync_depth.png
# frame: ./0060_depth.png
# frame: ./0060_sync_depth.png
# frame: ./0061_depth.png
# frame: ./0061_sync_depth.png
# frame: ./0062_depth.png
# frame: ./0062_sync_depth.png
# frame: ./0063_depth.png
# frame: ./0063_sync_depth.png
# frame: ./0064_depth.png
# frame: ./0064_sync_depth.png
# frame: ./0065_depth.png
# frame: ./0065_sync_depth.png
# frame: ./0066_depth.png
